Código Dane departamento,Departamento,Código Dane municipio,Municipio,Desagregación cultivo,Cultivo,Ciclo del cultivo,Grupo cultivo,Subgrupo,Año,Periodo,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha),Nombre científico del cultivo,Código del cultivo,Estado físico del cultivo,_depto_norm,_cultivo_norm
08,Atlántico,8001,Barranquilla,Otras hortalizas,Otras hortalizas,Transitorio,Hortalizas,Hortalizas,2024,2024B,0.02,0.02,0.13,6.5,No aplica,1059900,En fresco,ATLANTICO,Otras hortalizas
08,Atlántico,8001,Barranquilla,Otras hortalizas,Otras hortalizas,Transitorio,Hortalizas,Hortalizas,2025,2025A,0.25,0.25,3.0,12.0,No aplica,1059900,En fresco,ATLANTICO,Otras hortalizas
08,Atlántico,8001,Barranquilla,Otras hortalizas,Otras hortalizas,Transitorio,Hortalizas,Hortalizas,2025,2025B,0.05,0.01,0.1,10.0,No aplica,1059900,En fresco,ATLANTICO,Otras hortalizas
08,Atlántico,8001,Barranquilla,Plantas aromáticas,Plantas aromáticas,Transitorio,"Cultivos para condimentos, bebidas medicinales y aromáticas","Cultivos para condimentos, bebidas medicinales y aromáticas",2024,2024B,0.01,0.01,0.02,2.0,No aplica,1022300,En fresco,ATLANTICO,Plantas aromáticas
08,Atlántico,8001,Barranquilla,Plantas aromáticas,Plantas aromáticas,Transitorio,"Cultivos para condimentos, bebidas medicinales y aromáticas","Cultivos para condimentos, bebidas medicinales y aromáticas",2025,2025A,0.23,0.23,0.58,2.52,No aplica,1022300,En fresco,ATLANTICO,Plantas aromáticas
08,Atlántico,8001,Barranquilla,Plantas aromáticas,Plantas aromáticas,Transitorio,"Cultivos para condimentos, bebidas medicinales y aromáticas","Cultivos para condimentos, bebidas medicinales y aromáticas",2025,2025B,0.07,0.01,0.02,2.0,No aplica,1022300,En fresco,ATLANTICO,Plantas aromáticas
08,Atlántico,8001,Barranquilla,Plátano consumo interno,Plátano,Permanente,Frutales,Demás frutales,2025,2025,0.02,0.0,0.0,0.0,Musa x paradisiaca,2045802,En fresco,ATLANTICO,Plátano
08,Atlántico,8001,Barranquilla,Yuca consumo en fresco,Yuca,Transitorio,Raíces y tubérculos,Raíces y tubérculos,2025,2025B,0.03,0.0,0.0,0.0,Manihot esculenta,1081001,En fresco,ATLANTICO,Yuca
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2019,2019A,35.0,33.0,330.0,10.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2020,2020A,40.0,38.0,380.0,10.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2021,2021A,32.0,32.0,384.0,12.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2022,2022A,32.0,32.0,384.0,12.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2023,2023A,32.0,32.0,384.0,12.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2024,2024A,32.0,32.0,384.0,12.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2024,2024B,35.0,35.0,420.0,12.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2025,2025A,32.0,32.0,384.0,12.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
08,Atlántico,8078,Baranoa,Ahuyama,Ahuyama,Transitorio,Hortalizas,Hortalizas de fruto,2025,2025B,35.0,35.0,420.0,12.0,Cucurbita maxima,1050200,En fresco,ATLANTICO,Ahuyama
