No,Fecha de registro,departamento revisado,municipio revisado,Cultivo,Variedad o hibrido,Edad del cultivo (AÑOS),"Parte de la planta a analizar (toda la planta, parte aérea, raíz, tubérculo, tallo, hoja, flor, fruto, semilla)","Sintomatología (tamaño, color, deformación)",Fertilizantes aplicados anteriormente,"Rendimiento del cultivo (bueno, regular, malo)",Nitrógeno (N) % STD,Fósforo (P) % STD,Potasio (K) % STD,Calcio (Ca) % STD,Magnesio (Mg) % STD,Sodio (Na) % STD,Azufre (S) % STD,Hierro (Fe) mg/kg STD,Cobre (Cu) mg/kg STD,Manganeso (Mn) mg/kg STD,Zinc (Zn) mg/kg STD,Boro (B) mg/kg STD,_depto_norm,_cultivo_norm
1,2023 Jan 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.8,0.38,1.69,0.73,0.38,,0.36,136.28,9.1,83.27,113.28,51.84,ATLANTICO,Yuca
2,2023 Jan 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.44,0.38,1.62,0.65,0.35,,0.32,94.62,8.16,153.64,79.4,45.48,ATLANTICO,Yuca
3,2023 Jan 03 12:00:00 AM,ATLÁNTICO,CANDELARIA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.04,0.37,1.34,0.66,0.38,,0.38,91.61,7.98,74.81,116.97,46.2,ATLANTICO,Yuca
4,2023 Jan 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROSA,2 MESES,HOJAS,VERDE,NO APLICA,BUENO,5.04,0.5,1.73,0.67,0.33,,0.37,94.82,9.15,85.17,176.41,43.25,ATLANTICO,Yuca
5,2023 Jan 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROSA,2 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.67,0.38,1.38,0.88,0.41,,0.34,124.98,7.99,137.37,181.06,46.62,ATLANTICO,Yuca
6,2023 Jan 03 12:00:00 AM,ATLÁNTICO,MANATÍ,YUCA,CHIROSA,2 MESES,HOJAS,VERDE,NO APLICA,BUENO,4.99,0.44,1.52,0.71,0.37,,0.35,107.91,8.81,126.89,204.01,45.38,ATLANTICO,Yuca
7,2023 Jan 03 12:00:00 AM,ATLÁNTICO,PONEDERA,YUCA,CHIROSA,3 MESES,HOJAS,SANA,NINGUNO,BUENO,5.6,0.52,1.74,0.63,0.31,,0.36,111.63,6.99,69.85,61.78,56.64,ATLANTICO,Yuca
8,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,5.22,0.35,1.58,0.83,0.45,,0.35,173.83,8.57,69.63,124.7,60.33,ATLANTICO,Yuca
9,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,FRIJOL,CAUPI,40 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.91,0.28,2.24,2.63,0.26,0.06,0.3,194.68,7.59,104.48,36.67,64.26,ATLANTICO,Frijol
10,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,5.39,0.34,1.52,0.95,0.39,,0.36,106.12,8.54,83.63,125.38,53.58,ATLANTICO,Yuca
11,2023 Jan 11 12:00:00 AM,ATLÁNTICO,LURUACO,YUCA,CHIROSA,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.65,0.39,1.64,1.35,0.5,0.08,0.44,108.4,8.75,127.89,129.34,43.34,ATLANTICO,Yuca
12,2023 Jan 11 12:00:00 AM,ATLÁNTICO,MANATÍ,MAÍZ,V109,4 MESES,HOJAS,VERDE,"MICORRISA,LOMBRICOMPOST",BUENO,3.78,0.41,3.81,0.4,0.26,,0.28,160.57,13.6,50.22,50.01,13.98,ATLANTICO,Maíz
13,2023 Jan 11 12:00:00 AM,ATLÁNTICO,MANATÍ,PLÁTANO,DOMINICO,4 MESES,HOJAS,VERDE,"MICORRISA,LOMBRICOMPOST",BUENO,3.86,0.22,3.64,1.34,0.54,,0.26,160.75,10.0,146.05,17.61,15.82,ATLANTICO,Plátano
14,2023 Jan 11 12:00:00 AM,ATLÁNTICO,PONEDERA,MAÍZ,ICA 109-VARIEDAD,65 DÍAS,HOJAS,SANA,NINGUNO,BUENO,3.39,0.34,2.92,0.35,0.23,,0.22,197.64,9.38,42.11,50.3,15.46,ATLANTICO,Maíz
15,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,FRIJOL,CAUPI,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.09,0.43,1.38,3.97,0.68,0.05,0.23,157.65,6.8,416.46,43.2,49.68,ATLANTICO,Frijol
16,2023 Jan 11 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,FRIJOL,CAUPI,90 DÍAS,HOJAS,VERDE,NINGUNO,NO INDICA,4.72,0.52,1.41,3.15,0.63,0.06,0.26,178.26,9.64,586.63,68.4,63.13,ATLANTICO,Frijol
