cultivo,ph_promedio,ph_p10,ph_p50,ph_p90,mo_promedio,mo_p10,mo_p50,mo_p90,calcio_promedio,calcio_p10,calcio_p50,calcio_p90,cic_promedio,cic_p10,cic_p50,cic_p90,conductividad_promedio,conductividad_p10,conductividad_p50,conductividad_p90,magnesio_promedio,magnesio_p10,magnesio_p50,magnesio_p90,azufre_promedio,azufre_p10,azufre_p50,azufre_p90,boro_promedio,boro_p10,boro_p50,boro_p90,sodio_promedio,sodio_p10,sodio_p50,sodio_p90,p_bray_promedio,p_bray_p10,p_bray_p50,p_bray_p90,k_interc_promedio,k_interc_p10,k_interc_p50,k_interc_p90,drenaje_predominante,topografia_predominante,n_foliar_promedio,p_foliar_promedio,k_foliar_promedio,n_registros_eva,n_registros_suelos,n_registros_foliar,n_municipios,n_departamentos,rendimiento_promedio
Algodón,6.8,5.8,6.71,8.0,2.16,1.26,2.08,3.02,9.72,2.34,11.08,14.17,14.35,3.22,15.97,23.77,0.29,0.11,0.2,0.52,4.06,0.7,2.42,8.6,10.04,3.2,7.54,16.17,0.41,0.16,0.41,0.69,0.11,0.04,0.09,0.21,46.78,4.2,12.07,126.82,0.46,0.17,0.37,0.88,Buen drenaje,Plano,,,,152,18,0,24,6,1.67
Arroz,6.39,5.16,6.42,7.38,1.56,0.74,1.45,2.49,8.35,2.12,8.14,14.5,12.65,3.63,12.7,22.1,0.47,0.14,0.26,0.81,3.49,0.72,2.59,6.97,21.92,3.89,8.02,34.95,0.27,0.1,0.22,0.52,0.57,0.14,0.23,1.07,20.09,3.64,10.5,36.23,0.28,0.11,0.22,0.46,Buen drenaje,Plano,1.4,0.21,1.76,1819,292,183,111,7,4.13
Cacao,5.81,4.72,5.8,6.86,2.13,1.1,1.9,3.47,7.44,1.39,6.07,14.02,10.91,3.92,9.02,19.37,0.3,0.1,0.22,0.57,2.58,0.4,1.86,5.73,6.26,2.21,4.25,10.98,0.22,0.07,0.2,0.42,0.2,0.1,0.14,0.29,20.03,3.59,6.76,36.55,0.27,0.11,0.2,0.48,Buen drenaje,Pendiente,1.85,0.19,1.81,504,908,172,80,7,0.57
Frijol,6.22,5.05,6.12,7.44,2.26,1.02,2.19,3.06,7.76,2.76,6.78,13.69,11.49,4.11,9.4,25.25,0.51,0.15,0.21,0.77,2.71,0.72,1.56,8.06,14.48,3.16,5.7,18.61,0.34,0.11,0.24,0.57,0.47,0.07,0.17,0.38,52.56,3.38,19.64,151.78,0.49,0.13,0.24,0.74,Buen drenaje,Plano,4.65,0.39,1.9,1616,32,297,149,7,1.29
Maíz,7.01,5.5,6.96,8.27,1.94,0.74,1.67,3.32,10.07,2.29,9.38,17.43,13.92,3.34,12.84,25.63,0.59,0.12,0.34,1.15,3.13,0.67,2.19,7.02,23.66,2.44,8.89,49.65,0.41,0.13,0.34,0.75,0.53,0.05,0.18,1.04,33.68,3.67,16.93,67.62,0.41,0.14,0.33,0.72,Buen drenaje,Plano,2.78,0.34,2.46,4770,957,24,191,7,2.29
Palma,6.31,5.09,6.38,7.49,1.34,0.55,1.1,2.12,7.29,0.61,6.62,14.42,11.89,1.47,8.38,25.77,0.62,0.07,0.19,1.09,2.64,0.19,1.6,7.6,39.44,2.34,5.6,94.2,0.26,0.11,0.21,0.49,2.01,0.05,0.27,4.96,29.34,3.2,20.27,58.73,0.24,0.1,0.17,0.48,Buen drenaje,Plano,2.47,0.17,1.02,530,107,100,79,7,3.18
Plátano,6.12,4.6,6.22,7.64,1.81,0.9,1.69,2.79,11.66,0.93,9.22,24.93,17.3,4.12,13.94,35.2,0.31,0.11,0.22,0.54,4.19,0.32,2.11,10.42,7.95,2.54,5.55,12.51,0.25,0.06,0.2,0.51,0.34,0.14,0.23,0.71,31.89,1.9,8.61,80.15,0.39,0.12,0.24,0.73,Regular drenaje,Plano,2.7,0.26,2.89,1030,704,74,157,7,7.46
Sorgo,6.51,5.48,6.4,7.78,2.04,0.83,1.81,3.38,13.7,3.95,12.92,21.39,20.9,5.8,20.81,34.64,0.85,0.15,0.4,1.76,5.82,1.19,5.18,11.86,24.05,2.94,6.26,55.59,0.36,0.16,0.32,0.6,0.96,0.15,0.61,2.05,33.83,2.72,10.6,79.35,0.48,0.14,0.38,0.96,Buen drenaje,Plano,,,,101,246,0,20,5,1.98
Yuca,6.36,5.25,6.18,7.81,1.89,0.56,1.55,3.5,17.09,1.13,11.34,43.74,21.28,1.64,14.84,52.07,0.36,0.1,0.22,0.64,3.87,0.27,2.86,8.67,9.28,1.89,4.28,17.95,0.33,0.11,0.28,0.57,0.43,0.08,0.25,0.88,29.62,2.64,14.98,55.61,0.46,0.12,0.32,1.13,Buen drenaje,Plano,4.0,0.33,1.33,2605,358,104,191,7,11.12
Ñame,6.98,6.05,6.85,8.27,2.45,1.41,2.22,3.53,29.19,11.01,22.02,59.67,35.13,16.71,29.61,64.51,0.42,0.17,0.29,0.8,5.39,2.71,4.8,9.19,7.09,2.65,5.08,12.55,0.43,0.15,0.39,0.72,0.32,0.14,0.24,0.55,47.94,3.08,14.09,94.48,0.75,0.23,0.59,1.33,Buen drenaje,Plano,,,,1139,269,0,92,7,10.47
