Secuencial,Fecha de Análisis,Departamento,Municipio,Cultivo,Estado,Tiempo de establecimiento,Topografia,Drenaje,Riego,Fertilizantes aplicados,pH agua:suelo,Materia organica,Fósforo Bray II,Azufre Fosfato monocalcico,Acidez Intercambiable,Aluminio intercambiable,Calcio intercambiable,Magnesio intercambiable,Potasio intercambiable,Sodio intercambiable,capacidad de intercambio cationico,Conductividad electrica,Hierro disponible olsen,Cobre disponible,Manganeso disponible Olsen,Zinc disponible Olsen,Boro disponible,Hierro disponible doble acido,Cobre disponible doble acido,Manganeso disponible doble acido,Zinc disponible doble  acido,_depto_norm,_cultivo_norm
45.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Pastos,Establecido,No indica,Plano,No indica,No Tiene,No indica,6.18,0.579,7.929,11.57,,,1.304,0.452,0.998,0.032,2.787,0.873,28.7,0.8,1.4,1.4,0.193,,,,,CESAR,
47.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Pastos,Establecido,No indica,Plano,No indica,No Tiene,No indica,5.97,0.486,6.999,1.48,,,1.971,0.503,,0.01,2.563,0.118,15.4,1.6,3.0,6.0,0.085,,,,,CESAR,
49.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,Establecido,No indica,Plano,No indica,No Tiene,No indica,6.32,1.456,22.42,1.782,,,7.974,1.295,0.214,0.027,9.511,0.174,31.4,4.0,1.7,2.2,0.139,,,,,CESAR,
51.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,Establecido,No indica,Plano,No indica,No Tiene,No indica,6.52,0.994,30.79,1.48,,,6.289,1.007,0.169,0.043,7.51,0.143,18.79,2.9,1.1,1.9,0.229,,,,,CESAR,
52.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Pastos,Establecido,No indica,Plano,No indica,No Tiene,No indica,6.22,1.087,25.58,1.48,,,3.669,0.935,0.128,0.016,4.748,0.179,28.2,2.1,1.0,1.4,0.157,,,,,CESAR,
53.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,Establecido,No indica,Plano,No indica,No Tiene,No indica,5.78,1.087,6.07,2.837,,,2.889,0.76,0.396,0.016,4.062,0.156,16.0,1.6,2.8,0.7,0.103,,,,,CESAR,
54.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,Establecido,No indica,Plano,No indica,No Tiene,No indica,6.28,0.856,56.25,1.933,,,3.332,0.555,0.406,0.038,4.331,0.166,9.399,2.5,1.7,1.6,0.085,,,,,CESAR,
55.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,Establecido,No indica,Plano,No indica,No Tiene,No indica,6.44,1.271,18.33,1.631,,,5.878,1.161,0.176,0.038,7.253,0.146,32.4,2.7,1.6,1.4,0.139,,,,,CESAR,
59.0,22/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,Establecido,No indica,Plano,No indica,No Tiene,No indica,6.01,0.671,9.973,0.878,,,2.283,0.565,0.326,0.016,3.191,0.07,13.2,2.1,2.3,0.4,0.085,,,,,CESAR,
155.0,19/08/2014,CESAR,AGUSTÍN CODAZZI,Algodón,Por establecer,No indica,Plano,Buen drenaje,No indica,NPK DAP KCL,7.15,3.02,215.9,15.07,,,13.36,1.182,0.633,0.048,15.23,0.898,38.5,1.7,2.2,1.6,0.637,,,,,CESAR,Algodón
